,Well ID,Avg Pump Difference,Pressure Gradient (psi/ft) new,Fluid System,Avg Close Pressure,Lateral Length,Area,PARENT_3000_WELL_COUNT
3,4,,0.501287232,0,1304.162878,11000,1,20
29,31,,0.489194852,1,2330.649788,10900,9,7
40,42,,0.577162336,0,2573.689381,7600,11,0
50,52,,0.562309728,0,2862.491012,7500,14,15
69,71,,0.500517285,2,1554.261093,9800,13,24
74,76,,0.562928571,0,2263.980877,9900,19,18
89,96,,0.514748458,1,2073.483878,10100,5,4
124,131,,0.588176939,1,2437.221124,10200,3,10
130,137,,0.606818415,0,3195.083894,7300,8,12
187,194,,0.523895323,2,2472.226587,10000,13,21
211,220,,0.55975494,1,2687.512197,15400,16,7
227,236,,0.520791318,0,1765.68711,15800,2,13
256,265,,0.497489429,1,1544.676122,13200,20,12
312,321,,0.574595356,0,2930.985972,10100,0,7
336,345,,0.617175215,0,2598.995714,10200,0,7
