,Well ID,Avg Pump Difference,Pressure Gradient (psi/ft) new,Fluid System,Avg Close Pressure,Lateral Length,Area,PARENT_3000_WELL_COUNT
0,1,-0.93,0.593758088,0,2719.898438,10300,0,12
1,2,-8.45,0.597058903,0,2934.885325,10300,0,12
2,3,8.7,0.516873265,0,1589.948673,11000,1,6
5,6,-4.34,0.565199923,0,2063.408619,12300,3,13
6,7,0.54,0.561294383,0,2330.939138,12600,3,12
7,8,66.52,0.493533848,0,1975.744979,11000,1,32
8,9,3.39,0.56011052,0,2235.44895,12900,3,17
9,10,13.78,0.540762005,0,1671.514259,10000,4,4
10,11,56.25,0.523597524,0,1097.263009,10000,4,4
11,12,65.88,0.519705507,0,1341.334898,10000,4,4
12,13,75.57,0.519913983,0,2222.396037,10100,4,4
13,14,43.66,0.532913717,0,1665.823009,10100,4,4
14,15,66.63,0.523556027,0,2054.614706,10100,4,4
15,16,80.58,0.477080938,2,995.6670335,10100,5,4
16,17,92.39,0.472648666,2,1160.647734,10100,5,4
17,18,42.91,0.526571643,0,890.668334,10100,4,4
18,19,5.23,0.54173063,0,1148.561993,9400,4,4
19,20,39.6,0.527903284,0,1121.475183,10100,4,4
20,22,-1.48,0.548908027,0,1919.710804,12700,6,7
21,23,1.96,0.548135939,0,2127.969411,12800,6,16
22,24,24.21,0.538487713,0,2075.985764,12800,6,9
23,25,-0.16,0.559608477,0,1210.401539,10300,7,10
25,27,-5.8,0.561943033,0,2252.870766,10600,7,8
26,28,6.66,0.556785485,0,1618.171604,10300,7,10
27,29,117.26,0.453435,2,1934.1,10900,9,7
28,30,43.38,0.480570763,1,2411.60484,10500,9,7
30,32,-1.7,0.563370555,0,2330.800646,10000,10,4
31,33,-2.26,0.563603648,0,2980.856098,9800,10,4
32,34,-2.68,0.563778467,0,3149.661193,9700,10,4
33,35,-1.31,0.496985182,1,2608.790227,9600,9,7
34,36,22.29,0.560853528,1,2045.250442,11900,11,7
35,37,2.02,0.495762089,1,2273.230704,10100,9,7
36,38,-1.6,0.497091697,1,2282.820439,9800,9,7
37,39,35.92,0.55510365,1,1772.547649,12100,11,7
38,40,5.66,0.575120123,0,2574.363601,7600,11,0
39,41,22.17,0.493067694,1,2282.086287,12600,12,27
41,43,21.61,0.493275362,1,2142.592613,12600,12,27
42,44,29.69,0.490279015,1,2129.566772,12600,12,26
43,45,16.52,0.535544531,0,1392.658407,9800,13,31
44,46,-2.68,0.566905359,0,3174.606856,7500,14,27
45,47,26.71,0.531457553,0,1471.735591,9800,13,28
46,48,34.34,0.528397333,0,1447.914205,9800,13,28
47,49,-0.74,0.599503194,0,1388.785071,9800,3,18
48,50,8.38,0.537465379,0,1779.642763,9900,15,11
49,51,30.48,0.528623678,0,1642.325348,9900,15,11
51,53,27.8,0.529695884,0,1705.952043,10000,15,11
52,54,-3.75,0.528340498,1,2137.722016,10300,16,11
53,55,-1.36,0.578119357,0,2918.588565,12700,13,0
54,56,-2.27,0.578508146,0,2437.832928,12600,13,36
55,57,7.49,0.574338272,0,2844.454398,12700,13,36
56,58,11.63,0.543487253,0,3007.073721,10200,17,18
57,59,-2.38,0.538644008,1,2644.198823,10300,16,9
58,60,33.8,0.535104953,0,2425.083694,10300,17,18
60,62,1.58,0.560550671,0,2878.360677,10100,11,19
61,63,0.1,0.561165108,0,2777.491166,9900,11,19
62,64,2.87,0.557316247,0,2875.21182,8200,18,4
63,65,6.98,0.536369705,0,3035.88471,7400,17,4
64,66,0.4,0.53899411,0,2956.639677,7400,17,4
65,67,60.35,0.515083309,0,2334.65693,7400,17,4
66,68,26.48,0.547561566,0,2901.845333,8200,18,8
67,69,25.11,0.548127593,0,2977.532359,8200,18,6
68,70,22.57,0.55091589,0,2435.512097,10000,19,18
70,72,57.13,0.499729856,2,1572.188565,10000,13,18
71,73,24.68,0.512255381,0,1542.878646,9800,13,24
72,74,-0.46,0.562230068,0,1958.012228,9900,19,18
73,75,49.95,0.492984227,2,2377.513451,10400,16,27
75,77,18.09,0.554517436,0,2588.412089,9900,19,18
76,78,26.83,0.553024696,0,2544.943509,10000,19,18
77,79,72.63,0.490793908,0,1716.51506,10600,16,27
78,80,5.73,0.57073975,0,2235.463224,9700,3,26
79,81,5.14,0.570989915,0,2569.850589,9700,3,4
80,82,1.47,0.518512647,0,2805.494621,10200,19,26
81,83,86.53,0.485850131,0,2318.978438,10200,19,26
82,84,38.63,0.504243436,0,2696.502663,10200,19,26
83,86,9.41,0.486643219,0,2894.154482,7400,19,20
84,88,4.52,0.488415961,0,2804.015668,7500,19,20
85,89,15.09,0.484584082,0,3064.953528,7500,19,14
86,90,25.29,0.503955815,0,2522.626225,15300,21,18
87,92,29.13,0.501580903,0,2574.593043,15300,21,18
88,95,29.48,0.498599038,1,2371.409781,12400,20,18
90,97,12.63,0.511444884,1,1890.757538,10100,5,4
91,98,102.51,0.517879525,2,1693.156406,12400,13,27
92,99,92.25,0.52494356,2,1710.870419,12400,13,27
